Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17M,17M|IZTAP_49,Casa,Casa habitación,Oriente 217 374,Calle 26 y Calle 28,Real del Moral,Iztapalapa,1975,3,Muros de mampostería confinada,0.237,4.482008,67.5636,82.14698,0.05287809,Menores,Grietas en acabados y elementos no estructurales,Grietas en acabados de una trabe en la planta baja,"Planta baja débil
Autoconstrucción / Ampliaciones",9010,"POLYGON((-99.0839419148671 19.3916557832005, -99.0839528347646 19.391588808259, -99.0841363681381 19.3916174244802, -99.0841241337081 19.3916837767105))"
17M,17M|IZTAP_06,Escuela Héroes del Molino del Rey,Escuela,General Manuel Cepeda 41,Pablo García y Cnel. Lino Merino,Juan Escutia,Iztapalapa,1960,2,Marcos de concreto con muros de mampostería,0.2414272,3.579607,78.02077,100.82,0.06744517,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas en columnas y trabes,Ninguno apreciable,9100,"POLYGON((-99.0560971808033 19.3990191354376, -99.0560977618061 19.399018231979, -99.0563200185044 19.3986721799177, -99.0568731727377 19.3989886235939, -99.056652335528 19.399332462576))"
17M,17M|IZTAP_45,Casa,Casa habitación,"Calle 8 Mz 22
Lt 14",Calle 17 y Calle 18,José López Portillo,Iztapalapa,1999,3,Muros de mampostería confinada,0.237,2.241233,86.19225,109.911,0.1057454,Menores,Grietas en acabados y elementos no estructurales,Grieta por cortante en un muro del primer nivel,"Irregularidad vertical
Irregularidad en planta
Autoconstrucción / Ampliaciones",9920,"POLYGON((-99.0799768190859 19.3089028605118, -99.0800016307832 19.3088719782048, -99.0800343578429 19.3088312236867, -99.08015210448 19.308914888439, -99.0800957458132 19.3089858017847))"
17M,17M|IZTAP_12,Barda,Barda,Desposorios S/N,Baltazar Echave Rioja y Francisco X. Salazar,San Lorenzo Tezonco,Iztapalapa,1966,0,Muros de mampostería confinada,0,0,0,0,0,Graves,Barda,Grietas y desplome importante de la barda,Ninguno apreciable,9900,"POLYGON((-99.0713243568796 19.3107562301359, -99.0713874699369 19.3101777232569, -99.0723090817338 19.3103473143345, -99.0721951373212 19.3109101599055))"
17M,17M|IZTAP_67,Parroquia Cristo Salvador y Señor,Iglesia,Manuel Cañas 0,Villa Feliche,Desarrollo Urbano Quetzalcóatl,Iztapalapa,1993,2,Muros de mampostería confinada,0.158,0.5,69.18992,92.40803,0.316,Intermedio,Estructuras antiguas,Agrietamiento de los muros en uniones muro-columna,Irregularidad en planta,9700,"POLYGON((-99.0423030498641 19.3300142603766, -99.0423871056511 19.3299643080366, -99.0431410034368 19.3295162662871, -99.042961080002 19.3301694686528))"
17M,17M|IZTAP_68,Parroquia Sagrado Corazón de Jesús,Iglesia,Canal de Panamá 0,Javier Echeverría,Insurgentes,Iztapalapa,1979,1,Muros de mampostería confinada,0.079,0.5343662,83.66911,102.8721,0.1478387,Intermedio,Estructuras antiguas,Desprendimiento de acabados de muros interiores,Ninguno apreciable,9750,"POLYGON((-99.0532127399082 19.3318148615451, -99.0532939050059 19.3315568646988, -99.0533071535138 19.3315147735535, -99.0536884698634 19.3316554971581, -99.0533641452137 19.3318772644196))"
17M,17M|IZTAP_28,"Barda de Escuela ""Lic. Antonio Díaz""",Barda,Miguel Hill 1,Gral. Lucio Blanco y F.C. Terraplén de Santa fe,Francisco Villa,Iztapalapa,1980,1,Muros de mampostería confinada,0.079,0,0,0,0,Graves,Barda,Grandes grietas en los muros,Ninguno apreciable,9720,"POLYGON((-99.0560657522703 19.3362331135758, -99.0571900870806 19.3363732876771, -99.0572459306824 19.336667156338, -99.0560917267981 19.3365254412862, -99.056085652067 19.3365246210937))"
17M,17M|IZTAP_56,UH,Edificio de departamentos,Av. San Lorenzo 760,Iztaccihuatl y Estrella,San Nicolas Tolentino,Iztapalapa,1989,4,Marcos de concreto con muros de mampostería,0.4060306,0.6052071,67.5811,152.9972,0.6708953,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas importante en trabe además de grietas pequeñas en muros,Ninguno apreciable,9860,"POLYGON((-99.072365967146 19.3370379021548, -99.0724628689615 19.3365532071542, -99.0725622491313 19.3360560931304, -99.0736662101241 19.3362295412162, -99.0736435320736 19.3363945573981, -99.074430530077 19.3365331048419, -99.0743762906209 19.3374605104831, -99.0739255703703 19.337411956412, -99.0739513913983 19.3372012611141))"
17M,17M|IZTAP_57,UH,Edificio de departamentos,Nicolás Fernández 9A,Esq. Gral. Luiciano Blanco,Francisco Villa,Iztapalapa,1989,5,Muros de mampostería confinada,0.395,1.583816,82.52639,142.3707,0.2493977,Menores,Grietas en acabados y elementos no estructurales,"Daño estructural leve, presenta hundimientos leves. La barda perimetral de la unidad esta a punto de colapsar",Irregularidad en planta,9720,"POLYGON((-99.0569959047986 19.3379061140711, -99.0570879570963 19.3378825842775, -99.0570523067413 19.3377256285531, -99.0574387257886 19.3376205227544, -99.05755599083 19.3381859447358, -99.0571045476191 19.3381925479247, -99.0571071423667 19.3382080991837, -99.0570565948927 19.3382090759395, -99.0570541326898 19.3381911750734, -99.0570571318082 19.3381910384039))"
17M,17M|IZTAP_33,Casa,Casa habitación,Calle 61 9,Av. 2 y Ermita Iztapalapa,Santa Cruz Meyehualco,Iztapalapa,1962,1,Muros de mampostería no confinada,0.079,1.937511,89.67229,105.3912,0.04077396,Graves,Estructuras débiles y sin ingeniería,Grietas severas por todos los muros,"Daños previos
Autoconstrucción / Ampliaciones",9290,"POLYGON((-99.0451369883173 19.3434353152631, -99.045161310156 19.3434328405313, -99.0452784815786 19.3434208822397, -99.0452877800499 19.3435098787341, -99.0451461915339 19.3435237970085))"
17M,17M|IZTAP_83,Casa,Casa habitación,Calle 49 11,Av. 2 y Ermita Iztapalapa,Santa Cruz Meyehualco,Iztapalapa,1999,1,Muros de mampostería confinada,0.079,1.851696,89.67229,105.3912,0.04266359,Graves,"Grietas grandes en muros, trabes o columnas",Severo agrietamiento de los muros y losa.,Autoconstrucción / Ampliaciones,9290,"POLYGON((-99.0426803825249 19.3437576959125, -99.0427047901798 19.3437552486734, -99.0428224383087 19.3437434639602, -99.0428319365252 19.3438313607082, -99.0426897282149 19.3438447343931))"
17M,17M|IZTAP_58,Casa,Casa habitación,Calle 57 15,Av. 2 y Ermita Iztapalapa,Santa Cruz Meyehualco,Iztapalapa,1982,2,Muros de mampostería confinada,0.158,2.112077,89.67229,121.1101,0.07480788,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Daños en muros posibles de carga, los muros se encuentran separados de castillos, hundimiento en ambos extremos de fachada, desprendimiento de escalera, no existe separación de colindancia, grietas de 2 mm que traspasa muro.",Autoconstrucción / Ampliaciones,9290,"POLYGON((-99.0443695280788 19.3437821824349, -99.0444000971122 19.3437792652968, -99.0445110502994 19.3437686623721, -99.0445216815619 19.3438572614606, -99.044379921369 19.343871359965))"
17M,17M|IZTAP_34,Casa,Casa habitación,Calle 62 17,Av. 2 y Ermita Iztapalapa,Santa Cruz Meyehualco,Iztapalapa,1962,1,Muros de mampostería no confinada,0.079,2.110478,89.67229,105.3912,0.03743227,Graves,Estructuras débiles y sin ingeniería,Grietas en varios muros. La estructura ya presentaba varias grietas antes del sismo,"Daños previos
Autoconstrucción / Ampliaciones",9290,"POLYGON((-99.045174219454 19.3437930615654, -99.0452051311652 19.3437897736853, -99.0453157695282 19.3437780221196, -99.0453253627731 19.343869881066, -99.045183660236 19.3438837823869))"
17M,17M|IZTAP_35,Casa,Casa habitación,Av. Miguel Hidalgo 25,Manuel Acuña y Licenciado Ignacio L. Vallarta,Jacarandas,Iztapalapa,1972,2,Muros de mampostería confinada,0.158,1.637707,82.52639,106.4641,0.09647636,Menores,Grietas en acabados y elementos no estructurales,"Golpeteo con la casa vecina, grietas en muros de mampostería y en aplanados","Golpeteo
Autoconstrucción / Ampliaciones",9280,"POLYGON((-99.0532625073125 19.3439761076687, -99.0532795656608 19.3439105597114, -99.0533059474094 19.3438091381279, -99.0533707437194 19.3438245374303, -99.0533246584363 19.3439997751993))"
17M,17M|IZTAP_46,Casa,Casa habitación,Calle 59 29,Av. 2 y Av. 4,Santa Cruz Meyehualco,Iztapalapa,1981,1,Muros de mampostería confinada,0.079,2.288265,89.67229,105.3912,0.03452397,Graves,"Grietas grandes en muros, trabes o columnas",Grietas importantes en losa y muros,"Irregularidad en planta
Autoconstrucción / Ampliaciones",9290,"POLYGON((-99.0448506882924 19.3445527483535, -99.0449074836039 19.3445473464841, -99.0449926765277 19.3445392345439, -99.0450021826606 19.3446283633407, -99.0448608230649 19.3446423472263))"
17M,17M|IZTAP_43,Casa,Casa habitación,Calle 65 98,Av. 8 y Av. 10,Santa Cruz Meyehualco,Iztapalapa,1992,1,Muros de mampostería no confinada,0.079,2.963951,89.67229,105.3912,0.02665361,Graves,Estructuras débiles y sin ingeniería,Grietas por cortante en los muros y losa,Autoconstrucción / Ampliaciones,9290,"POLYGON((-99.0467694446645 19.348018762933, -99.0468536437608 19.3480100712713, -99.0469092558026 19.3480043278485, -99.0469189212814 19.3480939102724, -99.0467789670516 19.348105834031))"
17M,17M|IZTAP_36,Casa,Casa habitación,Calle 67 103,Av. 10 y Av. 8,Santa Cruz Meyehualco,Iztapalapa,1986,1,Muros de mampostería confinada,0.079,2.963951,89.67229,105.3912,0.02665361,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Los muros  presentan grietas por cortante y en las juntas con las castillo y losa,Autoconstrucción / Ampliaciones,9290,"POLYGON((-99.0469382903228 19.3482734002298, -99.0469681151142 19.3482705506689, -99.0470823670316 19.3482596132788, -99.0470923941344 19.3483473975515, -99.0469479367012 19.3483628470256))"
17M,17M|IZTAP_55,Casa,Casa habitación,Lic. Ignacio L. Vallarta 159-1,Eduardo Vasconcelos y L. Valle,Jacarandas,Iztapalapa,1990,1,Muros de mampostería confinada,0.079,2.222749,82.52639,94.49525,0.03554157,Menores,Grietas en acabados y elementos no estructurales,Daños en un muro,Autoconstrucción / Ampliaciones,9280,"POLYGON((-99.0515290892951 19.348609104006, -99.0515404090406 19.3485322261755, -99.0516652840838 19.3485614143149, -99.0516460891115 19.3486337412767))"
17M,17M|IZTAP_66,Parroquia del Divino Niño Jesús,Iglesia,Calle 45 97,Esq. Av. 8,Santa Cruz Meyehualco,Iztapalapa,1997,1,Muros de mampostería confinada,0.079,3.13252,89.67229,105.3912,0.02521931,Menores,Estructuras antiguas,Fisuras en el campanario,"Irregularidad vertical
Irregularidad en planta
Presencia de apéndices",9290,"POLYGON((-99.042537889146 19.3481945565151, -99.0428135463998 19.348172603802, -99.0428829764922 19.348794609635, -99.0426044906043 19.348815958839))"
17M,17M|IZTAP_42,Casa,Casa habitación,Felipe Ángeles 0,Esq. Francisco Villa,Santa María Aztahuacan,Iztapalapa,1999,3,Muros de mampostería confinada,0.237,2.373569,86.62251,101.5041,0.09984965,Intermedio,Estructuras débiles y sin ingeniería,Desplome y hundimientos considerables. Pequeñas grietas en columnas,"Desplome
Hundimientos
Autoconstrucción / Ampliaciones",9570,"POLYGON((-99.0366716937844 19.3514606932322, -99.0366795759077 19.3514147155327, -99.0367020417986 19.3512836939282, -99.0369405593523 19.3513232138443, -99.0369072875573 19.3514975114038))"
17M,17M|IZTAP_69,Parroquia de Santa María (Aztahuacán),Iglesia,Av. México 2,Del Mexquite y 20 de Noviembre,Santa María Aztahuacan,Iztapalapa,1970,3,Mampostería histórica,0.237,0.7865398,74.74383,103.8048,0.3013198,Menores,Estructuras antiguas,Agrietamiento de los muros del campanario y entrada de la parroquia,Presencia de apéndices,9500,"POLYGON((-99.0240345598006 19.3529707311416, -99.0241163053289 19.3526463877238, -99.0241220000643 19.3526238004831, -99.0246265872577 19.3527446337618, -99.0246870251236 19.3528347845309, -99.0246352880854 19.3531102326587, -99.0246067938712 19.3531268178266, -99.0240493121231 19.3529978022328))"
17M,17M|IZTAP_54,Casa,Casa habitación,"Venustiano Carranza Mz 77
Lt 829",Filomeno Mata y Felipe Ángeles,Santa María Aztahuacan,Iztapalapa,1992,2,Muros de mampostería confinada,0.158,1.852036,86.62251,96.54354,0.08531149,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Daños importantes en barda perimetral. Muro de carga dañado por cortante, grietas en firmes por hundimientos.",Autoconstrucción / Ampliaciones,9570,"POLYGON((-99.0342574190318 19.3523881709704, -99.0342709095031 19.3523147998155, -99.0347434894229 19.3523930777794, -99.0347302085387 19.3524658705637, -99.0344908424139 19.352426528454, -99.0344416530299 19.3524184484775))"
17M,17M|IZTAP_37,Técnica Salgar,Industria,Filomeno Mata 171,Venustiano Carranza y Plan de Ayala,Santa María Aztahuacan,Iztapalapa,1994,1,Muros de mampostería confinada,0.079,1.783503,93.06839,113.2248,0.04429486,Graves,"Grietas grandes en muros, trabes o columnas",Hundimientos,"Hundimientos
Daños previos",9570,"POLYGON((-99.0336179455984 19.3524150915472, -99.0336257429584 19.35237268238, -99.033666957406 19.3521485840022, -99.0338848381213 19.3521842766483, -99.0338357408037 19.352451181469))"
17M,17M|IZTAP_52,Casa,Casa habitación,Plan de San Luis 0,Guadalupe Victoria y Vicente Guerrero,Santa María Aztahuacan,Iztapalapa,1990,3,Muros de mampostería confinada,0.237,1.014066,93.06839,153.5376,0.2337126,Menores,Grietas en acabados y elementos no estructurales,Grietas en muros y en escaleras,"Irregularidad en planta
Autoconstrucción / Ampliaciones",9570,"POLYGON((-99.0273747868935 19.3531966022905, -99.0273869844373 19.3531188027607, -99.0274143457257 19.3531231513765, -99.0275737897724 19.3531484835446, -99.0275618780488 19.3532284695293))"
17M,17M|IZTAP_07,Vivienda unifamiliar,Casa habitación,Piedras Negras 28,Av. México y Anillo de Circulación,Santa Maria Aztahuacan,Iztapalapa,1965,1,Muros de mampostería de adobe,0.079,0.8697964,74.74383,84.43081,0.09082586,Graves,Adobe,Grietas por cortante y flexión en los muros de carga,Autoconstrucción / Ampliaciones,9500,"POLYGON((-99.0256578606694 19.3542086967732, -99.0258828469606 19.3542568774723, -99.0258560993647 19.3545261904095, -99.025696864649 19.3545322812508, -99.0256595560187 19.35421834637))"
17M,17M|IZTAP_71,Parroquia de la Purísima Concepción,Iglesia,20 de Noviembre S/N,Esq. Herminio Chavarría,Zona Urbana Ejidal Santa María Aztahuazan,Iztapalapa,1980,2,Muros de mampostería confinada,0.158,1.427593,93.06839,133.3812,0.1106758,Graves,Estructuras antiguas,"Agrietamiento y desprendimiento de secciones en muros de mampostería del templo, agrietamiento y levantamiento del piso de mármol dentro del templo, falla por volteo de muro perimetral en el atrio",Irregularidad en planta,9570,"POLYGON((-99.0313525478772 19.3556561390865, -99.0314433198926 19.3551855326044, -99.0314845098637 19.3551932239727, -99.0323662795211 19.3553377007608, -99.0324149646679 19.3553467474587, -99.0323519123353 19.3556810470498, -99.0323141706001 19.3556928441828, -99.0322677437985 19.3557177321184, -99.0322365642321 19.3557398292192, -99.0322221841927 19.3557573196028, -99.0322099186964 19.3557826703257, -99.032205319622 19.3558051303887))"
17M,17M|IZTAP_09,Vivienda unifamiliar,Casa habitación,Av. México 85,Esq. 2da Cerrada México,Santa Maria Aztahuacan,Iztapalapa,1980,1,Muros de mampostería confinada,0.079,0.7902825,74.74383,84.43081,0.09996425,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas en trabes y muros,Efecto de esquina,9550,"POLYGON((-99.0231763556373 19.3559586662331, -99.0232336692585 19.3558878565038, -99.0233781625762 19.3557094137209, -99.0234655231262 19.3557678170675, -99.0236715676791 19.3558349977961, -99.0234620466022 19.3561209224683))"
17M,17M|IZTAP_20,Vivienda unifamiliar,Casa habitación,2a. Vista Hermosa 3,José María Morelos,Paraje Zacatepec,Iztapalapa,1993,3,Muros de mampostería confinada,0.237,0.6685762,74.74383,103.8048,0.3544846,Graves,"Grietas grandes en muros, trabes o columnas",Grietas importantes en muros y castillos,"Irregularidad en planta
Daños previos
Autoconstrucción / Ampliaciones",9560,"POLYGON((-99.0208519156229 19.3566433140981, -99.0208532303239 19.3566159742553, -99.0208589940084 19.3564965047, -99.02094458344 19.3564980877178, -99.0209873542126 19.3565080859098, -99.0208873628079 19.3566455954408))"
17M,17M|IZTAP_19,Vivienda unifamiliar,Casa habitación,Vista Hermosa 2,José María Morelos,Paraje Zacatepec,Iztapalapa,1989,2,Muros de mampostería confinada,0.158,0.6588517,74.74383,94.1178,0.2398112,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento a nivel de suelo,"Irregularidad vertical
Autoconstrucción / Ampliaciones",9560,"POLYGON((-99.0206208887305 19.3566976754224, -99.0206210803772 19.3566284489909, -99.0208873628079 19.3566455954408, -99.0208412956482 19.3567089432101))"
17M,17M|IZTAP_53,Esc. Sec. Luis Pasteur,Escuela,Av. Herminio Chavarría S/N,Esq. Plan de Ayala,Santa María Aztahuacan,Iztapalapa,1965,2,Marcos de concreto con muros de mampostería,0.2414272,1.572865,93.06839,154.6671,0.1534952,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Inclinación y desplome en edificio A (Administración), columnas pandeadas","Planta baja débil
Efecto de columna corta
Hundimientos",9570,"POLYGON((-99.0323498080211 19.3567256303109, -99.0324515100103 19.3561645455664, -99.032476890336 19.3561585479469, -99.0325046704836 19.3561488823692, -99.0325375169701 19.356132784363, -99.0325918096725 19.3560891407404, -99.032619760198 19.3560526511326, -99.033410494947 19.3561763319739, -99.0332841913754 19.3568763035596))"
17M,17M|IZTAP_32,"Bachilleres 6 ""Vicente Guerrero""",Escuela,Av. Antonio Díaz Soto y Gama S/N,Anillo Periférico y Campaña de Ebano,Unidad Vicente Guerrero,Iztapalapa,1987,3,Marcos de concreto con muros de mampostería,0.3272312,2.347266,51.93198,102.0876,0.1394095,Menores,Grietas en acabados y elementos no estructurales,Grietas en los marcos de concreto.,Ninguno apreciable,9200,"POLYGON((-99.0545920414259 19.3584095192896, -99.0545988458174 19.3583797134636, -99.0548636892342 19.3572199654465, -99.0573328369859 19.3577391165838, -99.0570661996617 19.3589192593819))"
17M,17M|IZTAP_08,Edificio de departamentos,Fábrica,1era de Mayo 299,Prof. Otilio Montaño y Abraham Gonzales,Santa Maria Aztahuacan,Iztapalapa,1980,2,Muros de mampostería confinada,0.158,0.6714569,73.93761,92.69826,0.2353092,Graves,"Grietas grandes en muros, trabes o columnas","Grietas en trabes, columnas y muros",Ninguno apreciable,9570,"POLYGON((-99.0229761838271 19.3588838759827, -99.022979993637 19.3588619849055, -99.0230235681761 19.3586114435043, -99.0234500808773 19.3586816362192, -99.0234010398822 19.3589508698702))"
17M,17M|IZTAP_88,Vivienda,Casa habitación,Retorno 405 2,Río Churubusco y Retorno 408,Unidad Modelo,Iztapalapa,1990,2,Muros de mampostería confinada,0.158,1.440226,85.58998,97.49078,0.109705,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento en recubrimiento de yeso en muro de mampostería,Cambios de rigidez en elevación,9089,"POLYGON((-99.1293961813928 19.3601908377659, -99.1294346744837 19.3601267102746, -99.1295808186306 19.3602049458293, -99.1295419920625 19.3602689016943))"
17M,17M|IZTAP_39,Casa,Casa habitación,Francisco Sarabia 16,Emiliano Zapata y Celio Garcia,Pueblo Santa Martha Acatitla,Iztapalapa,1998,1,Muros de mampostería confinada,0.079,0.7915555,72.98428,84.34322,0.09980349,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas por cortante en muros. Un muro en particular se encuentra muy dañado,"Daños previos
Autoconstrucción / Ampliaciones",9510,"POLYGON((-99.0061056393249 19.3605998812867, -99.0061646553595 19.3603476850898, -99.0061656077215 19.3603479111579, -99.006581304254 19.3604480936582, -99.0065599746521 19.360699411579))"
17M,17M|IZTAP_04,Torre Medica Churubusco,Hospital,Calzada de la Viga 1756,Anastasio G. Sarabina y Jorge Enciso,Héroes de Churubusco,Iztapalapa,1976,8,Marcos de concreto con muros de mampostería,0.6828593,1.848494,85.58998,137.024,0.3694139,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas y algunas caídas de mampostería,"Golpeteo
Cambios de rigidez en elevación",9090,"POLYGON((-99.1216874297393 19.3613296546769, -99.1216924852233 19.3612679245398, -99.1216936664159 19.3612535130064, -99.1216976634895 19.3612046312472, -99.1219501659644 19.3611959111688, -99.121958257798 19.3613195728349))"
17M,17M|IZTAP_15,Edificio,Casa habitación,Tepozanes M1-L10-A1,,Unidad Tepozanes,Iztapalapa,1975,3,Muros de mampostería confinada,0.237,0.8317068,74.2122,113.339,0.2849562,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Agrietamientos de muros en plata baja,Ninguno apreciable,9180,"POLYGON((-98.9941550392336 19.361785005428, -98.994158067486 19.3617294931591, -98.9941609811584 19.3616756975612, -98.9942574095771 19.361680773175, -98.9942520678337 19.361789331247))"
17M,17M|IZTAP_11,Vivienda unifamiliar,Casa habitación,Matamoros 11,Esq. Manzanillo,San Sebastián Tecoloxtitla,Iztapalapa,1997,2,Muros de mampostería no confinada,0.158,0.9731,72.62014,94.34308,0.1623677,Graves,Estructuras débiles y sin ingeniería,Agrietamientos graves en muros de carga,"Efecto de esquina
Irregularidad vertical
Autoconstrucción / Ampliaciones",9520,"POLYGON((-99.0174711265303 19.3622423708165, -99.0174713081455 19.3622290444134, -99.0174725315757 19.362140674533, -99.0175693606155 19.3621600670609, -99.0175648324009 19.3622486081416))"
17M,17M|IZTAP_47,Casa,Casa habitación,"Exploradores de Zaragoza Mz 19
Lt 25",Pantaleón García y Av. Fuerte de Loreto,Santa Martha Acatitla Sur,Iztapalapa,1978,1,Muros de mampostería confinada,0.079,0.5971846,73.93761,83.31793,0.1322874,Graves,"Grietas grandes en muros, trabes o columnas","Hundimientos severos del terreno, rotura del piso de concreto. Grietas en muros de mampostería, y desprendimiento de un muro del marco catillo-dala","Irregularidad en planta
Autoconstrucción / Ampliaciones",9530,"POLYGON((-99.0250012845398 19.3645340779665, -99.0250395919303 19.3644521463153, -99.0250656508331 19.3643964501294, -99.0252402713706 19.364535903579, -99.0251597919009 19.3645998892659))"
17M,17M|IZTAP_59,Parroquia San Judas Tadeo,Iglesia,Congreso de Chilpancingo Sur S/N,Chilpancingo Norte,Ermita Zaragoza,Iztapalapa,1989,2,Muros de mampostería confinada,0.158,1.084471,72.47682,93.81972,0.1456931,Menores,Estructuras antiguas,Agrietamiento en muros de mampostería de la casa parroquial,Autoconstrucción / Ampliaciones,9180,"POLYGON((-98.9973600463135 19.3645928414356, -98.9973612564088 19.36458936318, -98.9973675895263 19.3644696486154, -98.9973729864458 19.3643679228197, -98.9973986804632 19.3638875189058, -98.9979438492412 19.3639124399994, -98.9979080523169 19.364574303385, -98.9979057946533 19.3645773567438, -98.9975331600192 19.3645610061517, -98.9974372607952 19.3645724672697))"
17M,17M|IZTAP_40,Casa,Casa habitación,"Loyula Ecatepec Mz 13
Lt 5",Tesmalaca y R. Ecatepec,Ermita Zaragoza,Iztapalapa,1973,2,Muros de mampostería no confinada,0.158,1.106131,72.47682,93.81972,0.1428403,Intermedio,Estructuras débiles y sin ingeniería,Grietas por cortante en muros y hundimientos,"Irregularidad vertical
Autoconstrucción / Ampliaciones",9180,"POLYGON((-99.0014914492095 19.3650625215513, -99.0014923371145 19.3650466470953, -99.0014943229259 19.3650114197166, -99.0016385543047 19.3650184887916, -99.0016361855066 19.3650688046678))"
17M,17M|IZTAP_38,casa,Casa habitación,"Inocencio Arreola Mz 30 
26",Esq. J. Espinoza,Santa Martha Acatitla Sur,Iztapalapa,1977,2,Muros de mampostería confinada,0.158,0.8579468,73.93761,92.69826,0.1841606,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Hundimientos diferenciales,"Efecto de esquina
Autoconstrucción / Ampliaciones",9530,"POLYGON((-99.0202666029627 19.3652675115148, -99.0202754618105 19.3652352676781, -99.0203316820315 19.3650304754211, -99.0204291119493 19.3650628300108, -99.0204182526483 19.3653215369614))"
17M,17M|IZTAP_51,Casa,Casa habitación,"Antonio Estévez Mz 22
Lt 26",Av. Exploradores Ejercito de Ote y Av. Fuerte de Loreto,"Ejercito de Oriente Zona Peñón
3ra Sección",Iztapalapa,1984,2,Muros de mampostería confinada,0.158,0.6013638,82.25184,123.3892,0.2627361,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Grietas por cortante y flexión en los muro. Y grietas en losas,"Irregularidad en planta
Autoconstrucción / Ampliaciones",9239,"POLYGON((-99.0251337276045 19.3653969769164, -99.0251776725232 19.365361031748, -99.0252356060408 19.3654275574912, -99.0251930040291 19.3654625993156, -99.0251465943466 19.3654100418495))"
17M,17M|IZTAP_14,Vivienda unifamiliar,Casa habitación,Joaquín Ibarguen 0,Francisco Fuentes,Ejercito de Oriente zona Peñón,Iztapalapa,1974,2,Muros de mampostería no confinada,0.158,0.5,82.37078,122.6228,0.316,Intermedio,Estructuras débiles y sin ingeniería,Agrietamientos en muros de carga,"Irregularidad vertical
Autoconstrucción / Ampliaciones",9239,"POLYGON((-99.0289243950699 19.3676497991511, -99.0289308340106 19.36759513244, -99.0289824643363 19.3676070328734, -99.0289917129596 19.3675449851974, -99.0290808589148 19.3675574563308, -99.0290732294215 19.3676194769564, -99.0290974398124 19.3676210499275, -99.0291010306665 19.3675971541733, -99.0291734332096 19.3676060017584, -99.0291650703897 19.3676664142156, -99.029117287746 19.3676606302925, -99.029107791568 19.3677169501339, -99.0290494275456 19.3677134514599, -99.0290186740958 19.3677072977948, -99.0290272656135 19.3676404528662, -99.0290011123214 19.3676361243204, -99.02899704522 19.3676623147865))"
17M,17M|IZTAP_48,Casa,Casa habitación,"Agustín Botello Mz 45 
Lt 28",Av. Exploradores Ejercito de Ote y Av. Fuerte de Loreto,"Ejercito de Oriente Zona Peñón
4ta Sección",Iztapalapa,1976,2,Muros de mampostería no confinada,0.158,0.5,82.37078,122.6228,0.316,Intermedio,Estructuras débiles y sin ingeniería,Grietas por cortante en muros,Autoconstrucción / Ampliaciones,9239,"POLYGON((-99.030936829095 19.3676980574903, -99.0309747066926 19.3676620838636, -99.0310357087133 19.3677215583115, -99.0309980406505 19.3677543880155, -99.0309669538975 19.3677278353724))"
17M,17M|IZTAP_13,Vivienda unifamiliar,Casa habitación,Joaquín Ibarguen 0,Joaquín Ibarguen,Ejercito de Oriente zona Peñón,Iztapalapa,1974,2,Muros de mampostería confinada,0.158,0.5,82.37078,122.6228,0.316,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Daño por agrietamiento en muros de mampostería y losa,"Irregularidad vertical
Autoconstrucción / Ampliaciones",9239,"POLYGON((-99.0287453007021 19.3678177404985, -99.0287541588574 19.367762839005, -99.0288081512849 19.3677683522792, -99.0288183904138 19.3677138844927, -99.0289037172501 19.3677258586422, -99.0288929351828 19.367787192515, -99.0289222314713 19.3677910514123, -99.0289275176647 19.3677666949801, -99.0289982915779 19.3677802042848, -99.0289873286429 19.3678349159416, -99.0289396126306 19.3678293036366, -99.0289334974547 19.3678856145729, -99.0288739619919 19.3678754213411, -99.0288441799797 19.3678699543043, -99.0288522953086 19.3678088461884, -99.028824446727 19.3678019969622, -99.0288189223867 19.3678286481151))"
