Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17E,17E|TLAN_01,HGR 72,Hospital,Filiberto Gómez 0,Av. Gustavo Baz Prada y Roberto Flutón,Centro Industrial Tlalnepantla,Tlalnepantla,,6,Marcos de concreto con muros de mampostería,0.550335,,,,,Menores,"Grietas pequeñas en muros, trabes o columnas",Daños menores,Irregularidad en planta,54030,"POLYGON((-99.203978186844 19.5431000650162, -99.2046039850886 19.5428763956816, -99.2045801904785 19.5428097707735, -99.2049442480123 19.54268365934, -99.2049680426225 19.5427455253263, -99.2049704220834 19.5427455253263, -99.2051417432759 19.5426979361061, -99.2052821314751 19.543047716874, -99.2053987250645 19.5430096454979, -99.2054582115896 19.5431500336973, -99.2053535153054 19.5431928639953, -99.2054582115896 19.543442707401, -99.2049965961545 19.5436021312883, -99.2049037971753 19.5433879797978, -99.2041947177955 19.5436687561966, -99.2041376107314 19.5435021939261, -99.2040709858232 19.5435331269192, -99.2040281555251 19.5434403279399, -99.2040971598943 19.5434093949469))"
17E,17E|TLALMA_01,Iglesia San Lorenzo Tlalmimilolpan,Iglesia,Santa Maria S/N,Hidalgo y Nuevo Leon,San Lorenzo,Tlalmanalco,,1,Mampostería histórica,0.079,,,,,Colapso parcial,Estructuras antiguas,Grietas en cúpulas asi como  rupturas en paredes.,"Irregularidad vertical
Irregularidad en planta",55830,"POLYGON((-98.8709576246255 19.6685976742495, -98.8709818951278 19.6685262904193, -98.8712631474187 19.6686048126326, -98.8712431599462 19.6686733411095))"
17E,17E|TENVLLE_01,"Casa 1, Tenango Valle",Casa Habitación,"Av. Lic. Leon Guzman 306, 304",Ignacio Zaragoza y Lic. Benito Juarez Nte.,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Intermedio,Estructuras débiles y sin ingeniería,Falla de  muro en la parte alta.,Autoconstrucción / Ampliaciones,52304,"POLYGON((-99.587993565427 19.1049157119417, -99.5883047989266 19.1049085735587, -99.5883076542798 19.1051241527259, -99.5879964207802 19.1051355741386))"
17E,17E|TENVLLE_03,"Casa 3, Tenango Valle",Casa Habitación,Av. Lic. Leon Guzman 308,Ignacio Zaragoza y Lic. Benito Juarez Nte.,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Intermedio,Estructuras débiles y sin ingeniería,Desprendimiento de material  del pretíl,"Efecto de esquina
Autoconstrucción / Ampliaciones",52304,"POLYGON((-99.5878081112276 19.1051349088811, -99.5878166772872 19.1049207573904, -99.5879404092595 19.1049179020373, -99.5879346985531 19.1051291981747))"
17E,17E|TENVLLE_04,"Casa 4, Tenango Valle",Barda,Ignacio Zaragoza S/N,Av. Lic Leon Guzman y  Av. Miguel Hidalgo Costilla,Barrio de la Estación,Tenango del Valle,,1,Muros de mampostería de adobe,0.079,,,,,Graves,Barda,Derrumbe de parte muro de mampostería adobe,Autoconstrucción / Ampliaciones,52304,"POLYGON((-99.5872755283679 19.1045510684654, -99.5872802872899 19.104346434819, -99.5875077637621 19.1043473866035, -99.5875039566245 19.1045510684654))"
17E,17E|TENVLLE_02,"Casa 2, Tenango Valle",Casa Habitación,Av. de la Independencia 106,Galeana y  AV. Miguel Hidalgo Costilla,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Intermedio,Estructuras débiles y sin ingeniería,Desprendimiento de material  del pretíl,Autoconstrucción / Ampliaciones,52300,"POLYGON((-99.5907602837115 19.1043384547017, -99.5907702774477 19.1040786175598, -99.5910329699428 19.1040829005898, -99.5910201208534 19.1043498761145))"
17E,17E|TENVLLE_05,"Casa 5, Tenango Valle",Casa Habitación,Galeana S/N,Galeana esquina con Martires,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Intermedio,Estructuras débiles y sin ingeniería,Caída de material en muros,"Efecto de esquina
Irregularidad vertical
Autoconstrucción / Ampliaciones",52300,"POLYGON((-99.5890821817257 19.1048170446168, -99.5890964584918 19.1046028931262, -99.5892620689777 19.1046105074015, -99.5892544547026 19.1048237071076))"
17E,17E|TENVLLE_07,"Casa 6, Tenango Valle",Casa Habitación,Av. Lic. Leon Guzman 205,Av. Lic Abel C. Salazar y Cjon. De los Martires,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Menores,Estructuras débiles y sin ingeniería,"Daño en Fachada, desprendimiento de material","Irregularidad vertical
Autoconstrucción / Ampliaciones",52300,"POLYGON((-99.5892843469385 19.1054073107113, -99.5892891058606 19.1051705543412, -99.5896139022879 19.1051693646107, -99.5896043844439 19.1054096901722))"
17E,17E|TENVLLE_08,"Casa 7, Tenango Valle",Comercio,Av. Miguel Hidalgo y Costilla 207,Av. Miguel Hidalgo y Costilla esquinca con Cjon de los Martires,Centro,Tenango del Valle,,1,Muros de mampostería no confinada,0.079,,,,,Intermedio,Estructuras débiles y sin ingeniería,Colapso de material en en el pretíl,"Efecto de esquina
Autoconstrucción / Ampliaciones",52300,"POLYGON((-99.5890855271085 19.1038297677221, -99.5890933793298 19.1035178203842, -99.5892982509224 19.1035256726055, -99.5892889710245 19.1038326230753))"
17E,17E|TENVLLE_06,Parroquia de San Francisco de Asís,Iglesia,Hidalgo Sur 106,Rayon Ote y Nicolas Bravo,San Francisco Tepexoxuca,Tenango del Valle,,1,Mampostería histórica,0.079,,,,,Graves,Estructuras antiguas,Daños graves em la cúpula y campanario. Grietas dentro del templo.,"Planta baja débil
Irregularidad vertical",52333,"POLYGON((-99.5469015806513 19.0592811895534, -99.5475468904761 19.0591479397371, -99.5476687188795 19.0596790354336, -99.5470215054859 19.0598160923875))"
